EAName,EAVersion,Timestamp,Symbol,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,PhysicsScore,SpeedSlope,AccelerationSlope,MomentumSlope,ConfluenceSlope,JerkSlope,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 18:45,NAS100,-1,SELL,81.00,60.00,-59.45,-1870.24,-2652.76,0.00,-201.79,15.48,-2919.96,-1604.16,-317.18,0.00,-142.79,BEAR,NORMAL,24929.9,0.00,0.0,0.0,10108.43,10117.12,1,PASS,PASS,18,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 20:05,NAS100,-1,SELL,81.00,80.00,-422.23,-17115.27,-7071.33,0.00,-967.78,16.05,-2564.02,-3365.29,-0.11,10.00,-1116.21,BEAR,NORMAL,24863.7,0.00,0.0,0.0,10117.12,10180.55,1,PASS,PASS,20,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 20:30,NAS100,-1,SELL,83.67,80.00,-529.13,-17299.50,-2270.14,0.00,-398.74,16.18,1520.39,2740.73,58.70,0.00,557.48,BEAR,NORMAL,24839.4,0.00,0.0,0.0,10117.12,10205.09,1,PASS,PASS,20,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 20:50,NAS100,-1,SELL,91.67,80.00,-560.05,-14585.33,-2885.52,0.00,-927.86,16.58,-64.42,-3068.29,-62.23,20.00,-1104.32,BEAR,NORMAL,24798.9,0.00,0.0,0.0,10218.12,10218.12,0,PASS,PASS,20,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 21:20,NAS100,1,BUY,83.67,60.00,322.26,1064.90,10402.39,0.00,1621.74,93.18,6993.12,2810.65,197.23,10.00,38.78,BULL,HIGH,24817.2,0.00,0.0,0.0,10218.12,10195.99,1,PASS,PASS,21,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 21:50,NAS100,-1,SELL,83.67,80.00,-285.76,-2731.56,-3397.13,0.00,-536.57,16.18,-4063.00,-2610.57,-444.09,0.00,-68.43,BEAR,NORMAL,24795.7,0.00,0.0,0.0,10195.99,10170.84,1,PASS,PASS,21,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 23:45,NAS100,1,BUY,81.00,80.00,173.20,505.01,576.68,0.00,-294.49,81.05,1282.14,-92.01,90.89,10.00,-105.12,BULL,LOW,24796.9,0.00,0.0,0.0,10170.84,10166.19,1,PASS,PASS,23,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 23:50,NAS100,-1,SELL,81.00,80.00,-191.38,-719.97,-639.34,0.00,-456.13,16.05,405.64,-1348.45,-0.90,20.00,-434.07,BEAR,LOW,24790.7,0.00,0.0,0.0,10166.19,10156.49,1,PASS,PASS,23,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.06 04:35,NAS100,1,BUY,81.00,80.00,177.01,2767.78,1461.79,0.00,263.19,96.05,506.94,1066.08,27.28,20.00,356.03,BULL,LOW,24890.8,0.00,0.0,0.0,10060.70,10060.70,0,PASS,PASS,4,1
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.06 05:45,NAS100,1,BUY,81.00,80.00,74.20,1895.91,467.92,0.00,270.46,94.50,-402.28,208.27,-17.99,-10.00,113.56,BULL,LOW,24899.6,0.00,0.0,0.0,10060.70,10065.10,1,PASS,PASS,5,1
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.06 08:10,NAS100,-1,SELL,81.00,100.00,-99.37,-1853.74,-2135.66,0.00,-100.46,19.09,-2176.85,-615.88,-53.78,10.00,40.27,BEAR,NORMAL,24913.8,0.00,0.0,0.0,10060.70,10079.30,1,PASS,PASS,8,1
