tradeIndex,type,message
119,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=240, OUT=241"
120,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=242, OUT=243"
120,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
121,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=244, OUT=245"
122,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=246, OUT=247"
123,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=248, OUT=249"
124,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=250, OUT=251"
125,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=252, OUT=253"
125,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
126,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=254, OUT=255"
126,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
127,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=256, OUT=257"
128,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=258, OUT=259"
128,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
129,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=260, OUT=261"
130,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=262, OUT=263"
131,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=264, OUT=265"
131,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
132,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=266, OUT=267"
132,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
133,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=268, OUT=269"
134,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=270, OUT=271"
135,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=272, OUT=273"
136,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=274, OUT=275"
137,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=276, OUT=277"
137,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
138,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=278, OUT=279"
139,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=280, OUT=281"
140,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=282, OUT=283"
140,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
141,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=284, OUT=285"
142,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=286, OUT=287"
142,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
143,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=288, OUT=289"
144,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=290, OUT=291"
145,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=292, OUT=293"
146,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=294, OUT=295"
147,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=296, OUT=297"
148,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=298, OUT=299"
148,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
149,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=300, OUT=301"
149,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
150,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=302, OUT=303"
150,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
151,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=304, OUT=305"
152,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=306, OUT=307"
153,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=308, OUT=309"
154,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=310, OUT=311"
155,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=312, OUT=313"
156,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=314, OUT=315"
157,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=316, OUT=317"
157,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
158,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=318, OUT=319"
158,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
159,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=320, OUT=321"
160,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=322, OUT=323"
161,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=324, OUT=325"
162,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=326, OUT=327"
163,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=328, OUT=329"
164,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=330, OUT=331"
164,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
165,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=332, OUT=333"
166,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=334, OUT=335"
167,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=336, OUT=337"
167,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
168,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=338, OUT=339"
169,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=340, OUT=341"
170,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=342, OUT=343"
170,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
171,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=344, OUT=345"
