SignalMetric,OutcomeMetric,PearsonCorr,PearsonPValue,SpearmanCorr,SpearmanPValue,Significant,AbsCorr
Confluence,RRatio,0.15813611489916057,0.06801484758116857,0.2172600569392617,0.011682228004640992,False,0.15813611489916057
Speed,Pips,0.1555404577317129,0.07272047538014531,0.14202920235913166,0.10162761025652416,False,0.1555404577317129
Jerk,IsWin,0.15481035866557422,0.07409050642047947,0.1375543247202691,0.11298170183207894,False,0.15481035866557422
Momentum,MFE,0.14464784542042639,0.09541214872371234,0.09685158169054478,0.26559936059684147,False,0.14464784542042639
Quality,MAE,-0.13848996591909993,0.11052947651413556,-0.06974751421822124,0.4232488219261149,False,0.13848996591909993
Confluence,Pips,0.13768662516900726,0.1126324044978807,0.20877032114412178,0.015486916557496658,False,0.13768662516900726
Confluence,MAE,-0.13297520952148523,0.12559928265308182,-0.13969474353821087,0.10743330997978764,False,0.13297520952148523
Speed,MAE,-0.114209230227181,0.1888511391286192,-0.10756493223107522,0.21605686837676777,False,0.114209230227181
Jerk,MAE,-0.1075254089001215,0.2162266372282331,0.009324305789348996,0.9148463036705065,False,0.1075254089001215
Speed,MFE,0.0938185091159894,0.28092963236737206,0.09969450990660733,0.25175653780335017,False,0.0938185091159894
Confluence,MFE,0.09142428684569023,0.2934424670971156,0.10110503537848411,0.24507632914020186,False,0.09142428684569023
Quality,HoldTimeBars,-0.0758351198673496,0.38381660330695516,-0.14822261482044327,0.08741751969050914,False,0.0758351198673496
Quality,Pips,-0.06371961112663863,0.46450970731246316,-0.11195496928216095,0.19778639269571677,False,0.06371961112663863
Momentum,MAE,-0.05197631121144898,0.5508841035100028,-0.11558996994975002,0.183525658035845,False,0.05197631121144898
Quality,ProfitPercent,-0.028070400370368457,0.7474848134207367,-0.08431551828725245,0.33274241692303463,False,0.028070400370368457
Quality,RRatio,-0.028070400370368457,0.7474848134207367,-0.08431551828725245,0.33274241692303463,False,0.028070400370368457
Quality,Profit,-0.02581883995885344,0.7671353825333583,-0.08349202350768822,0.33750270990336206,False,0.02581883995885344
Quality,IsWin,-0.01909277801343946,0.826677910044344,-0.10264758926566055,0.23791272391800655,False,0.01909277801343946
Acceleration,MFE,0.016499634398463355,0.8499199460987773,0.04517512687190614,0.6042452069270816,False,0.016499634398463355
Jerk,MFE,0.013491471395516236,0.8770428814911567,0.1118243369618075,0.19831339848604387,False,0.013491471395516236
Entropy,Profit,,,,,False,
Entropy,ProfitPercent,,,,,False,
Entropy,Pips,,,,,False,
Entropy,RRatio,,,,,False,
Entropy,MFE,,,,,False,
Entropy,MAE,,,,,False,
Entropy,IsWin,,,,,False,
Entropy,HoldTimeBars,,,,,False,
