dataset,symbol,version,timeframe,signal_metric,outcome_metric,correlation,p_value,n_samples,significant
NAS100_v3.1_1H,NAS100,v3.1,1H,Confluence,Profit,-0.10692784881639446,0.5881152451953985,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Confluence,ProfitPercent,-0.1071756761550832,0.5872456210432542,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Confluence,IsWin,-0.011169176290219282,0.9550161811287005,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Confluence,RRatio,-0.1071756761550832,0.5872456210432542,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Confluence,Pips,-0.10697839508548453,0.5879378332772587,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Momentum,Profit,0.05992940799690873,0.7619425159746996,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Momentum,ProfitPercent,0.06015968465501724,0.7610539730596696,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Momentum,IsWin,0.25389674614075597,0.1923261320416414,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Momentum,RRatio,0.06015968465501724,0.7610539730596696,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Momentum,Pips,0.05986407060548804,0.7621946799401972,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Speed,Profit,0.15618274953741096,0.4273988414810564,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Speed,ProfitPercent,0.1558504817248621,0.42839497093344187,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Speed,IsWin,0.3341904770966857,0.08219021429384506,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Speed,RRatio,0.1558504817248621,0.42839497093344187,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Speed,Pips,0.15602773720403698,0.4278634059769973,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Acceleration,Profit,0.14651533091984817,0.4568956876834035,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Acceleration,ProfitPercent,0.14667756101983712,0.4563919971994771,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Acceleration,IsWin,0.0627081052513361,0.7512406932135345,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Acceleration,RRatio,0.14667756101983712,0.4563919971994771,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Acceleration,Pips,0.14628728696185722,0.4576042130075788,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Jerk,Profit,0.06734642947802985,0.7334775212822352,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Jerk,ProfitPercent,0.06893088776426501,0.7274397198321734,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Jerk,IsWin,-0.2532106927531053,0.19357152950769668,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Jerk,RRatio,0.06893088776426501,0.7274397198321734,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Jerk,Pips,0.06727093016728108,0.7337656128565687,28,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Quality,Profit,0.023630524890574853,0.6295735847401188,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Quality,ProfitPercent,0.022319837505533343,0.6487009695989403,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Quality,IsWin,0.042279049678253675,0.388010353551543,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Quality,RRatio,0.022319837505533343,0.6487009695989403,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Quality,Pips,0.023681562522265623,0.6288336483713994,419,False
