EAName,EAVersion,Timestamp,Symbol,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,PhysicsScore,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek
TP_Integrated_EA,4.13_PRODUCTION,2025.09.18 05:50,NAS100,1,BUY,89.0,100.0,175.08503925268334,6394.24129335009,610.2621930998037,0.0,55.26648711309515,95.54498653348215,BULL,LOW,24393.4,43.99999999997817,0.0,0.0,992.86,993.78,1,PASS,PASS,5,4
TP_Integrated_EA,4.13_PRODUCTION,2025.09.18 06:05,NAS100,1,BUY,89.0,100.0,198.46223385264858,10622.736453788595,2359.703674483487,0.0,245.45078841641822,98.9,BULL,NORMAL,24415.4,43.99999999997817,0.0,0.0,992.86,994.0,1,PASS,PASS,6,4
TP_Integrated_EA,4.13_PRODUCTION,2025.09.18 08:25,NAS100,-1,SELL,86.33333333333334,80.0,-86.78673506748895,-2520.9850429096355,-2758.5042063914143,0.0,-420.7375237473108,19.22432820327166,BEAR,NORMAL,24410.8,39.00000000001455,0.0,0.0,992.86,993.95,1,PASS,PASS,8,4
TP_Integrated_EA,4.13_PRODUCTION,2025.09.18 10:20,NAS100,1,BUY,89.0,100.0,263.09066591935266,9244.848147332217,1409.7828377113456,0.0,-148.5828306307609,83.9,BULL,NORMAL,24426.7,38.99999999997817,0.0,0.0,993.95,993.75,1,PASS,PASS,10,4
TP_Integrated_EA,4.13_PRODUCTION,2025.09.18 11:50,NAS100,1,BUY,86.33333333333334,100.0,338.9673259758202,9170.97690348804,111.8464047767005,0.0,74.30698787051637,90.0948377818746,BULL,NORMAL,24493.4,40.0,0.0,0.0,993.75,994.38,1,PASS,PASS,11,4
TP_Integrated_EA,4.13_PRODUCTION,2025.09.18 14:10,NAS100,1,BUY,86.33333333333333,100.0,130.310709760523,5223.219050449572,4942.203538657336,0.0,620.8646886223535,98.63333333333333,BULL,NORMAL,24507.7,38.99999999997817,0.0,0.0,993.75,994.53,1,PASS,PASS,14,4
TP_Integrated_EA,4.13_PRODUCTION,2025.09.19 01:45,NAS100,-1,SELL,89.0,80.0,-92.63862728044805,-3086.4670569777654,-3419.361477938198,0.0,-291.80157378618225,19.052102953966397,BEAR,LOW,24495.8,44.00000000001455,0.0,0.0,993.75,994.37,1,PASS,PASS,1,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.19 02:05,NAS100,1,BUY,86.33333333333334,100.0,80.02730819151682,2855.7776933701603,3932.512771026174,0.0,1001.0172842220783,97.1353814476971,BULL,LOW,24515.5,45.0,0.0,0.0,994.37,994.13,1,PASS,PASS,2,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.19 02:50,NAS100,1,BUY,86.33333333333333,100.0,158.64809770123952,3821.201511597982,146.8008086059634,0.0,-79.76717017982429,81.16085621529376,BULL,LOW,24522.5,45.0,0.0,0.0,994.13,994.16,1,PASS,PASS,2,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.19 13:30,NAS100,1,BUY,86.33333333333334,100.0,105.70864803569762,2547.447818162481,1642.0227199089854,0.0,118.82338196353453,98.63333333333334,BULL,NORMAL,24501.8,39.00000000001455,0.0,0.0,994.13,993.95,1,PASS,PASS,13,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.19 15:30,NAS100,1,BUY,86.33333333333334,100.0,159.22142957953713,5649.469626626685,452.514498448489,0.0,61.0024719642427,95.70851873065153,BULL,NORMAL,24532.0,40.0,0.0,0.0,994.13,994.25,1,PASS,PASS,15,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.19 18:55,NAS100,1,BUY,89.0,100.0,201.95136488375226,3542.523689931526,4101.968641197925,0.0,523.420605869665,98.9,BULL,NORMAL,24543.0,35.0,0.0,0.0,994.13,994.36,1,PASS,PASS,18,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.19 22:30,NAS100,1,BUY,89.0,100.0,284.70424265884657,6061.365211994391,1381.111085253774,0.0,48.20310907651202,95.0152331807384,BULL,NORMAL,24627.3,34.00000000001455,0.0,0.0,994.13,995.2,1,PASS,PASS,22,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.19 22:40,NAS100,1,BUY,86.33333333333334,100.0,249.71885387712217,5607.566642479723,172.63565460830404,0.0,-150.08086036343653,81.58100742895614,BULL,NORMAL,24625.3,34.00000000001455,0.0,0.0,994.13,995.18,1,PASS,PASS,22,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.19 22:55,NAS100,1,BUY,91.66666666666666,100.0,325.3608107153491,6780.656876730025,1809.3035618630636,0.0,355.9172330618186,99.16666666666666,BULL,NORMAL,24648.5,35.0,0.0,0.0,994.13,995.42,1,PASS,PASS,22,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.19 23:05,NAS100,1,BUY,91.66666666666666,100.0,371.2520020654106,9191.204294629133,3460.1105948566847,0.0,712.4881952891237,99.16666666666666,BULL,NORMAL,24656.0,35.0,0.0,0.0,994.13,995.49,1,PASS,PASS,23,5
