EAName,EAVersion,Timestamp,Symbol,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek
TP_Integrated_EA,3.10_PRODUCTION,2025.05.12 22:35,NAS100,1,BUY,78.33333333333333,60.0,-311.4566993345501,-5114.780307304943,273.990443202365,0.0,480.5984231022708,AVOID,NORMAL,20808.0,30.0,0.0,0.0,0.31,0.31,0,PASS,PASS,22,1
TP_Integrated_EA,3.10_PRODUCTION,2025.05.12 22:45,NAS100,1,BUY,81.0,60.0,-383.0368663709123,-7150.192748948062,554.3892837794328,0.0,634.4388541450669,TRANSITION,NORMAL,20794.2,30.999999999985448,0.0,0.0,0.31,0.31,0,PASS,PASS,22,1
TP_Integrated_EA,3.10_PRODUCTION,2025.05.12 22:55,NAS100,1,BUY,78.33333333333333,80.0,34.71583716848383,806.1909736222863,5160.702560355203,0.0,1044.8995367448006,AVOID,NORMAL,20844.2,30.999999999985448,0.0,0.0,0.31,0.31,0,PASS,PASS,22,1
TP_Integrated_EA,3.10_PRODUCTION,2025.05.12 23:00,NAS100,1,BUY,83.66666666666666,100.0,280.5938914456575,6913.1474608870285,7630.738637463464,0.0,1244.1204115715493,BULL,NORMAL,20870.2,30.999999999985448,0.0,0.0,0.31,0.31,0,PASS,PASS,23,1
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 01:40,NAS100,-1,SELL,81.0,80.0,-403.59465973653056,-6024.708480502701,-880.5190275223944,0.0,149.54909808915863,BEAR,LOW,20836.5,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,1,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 01:55,NAS100,1,BUY,83.66666666666667,60.0,-188.35508436637994,-4761.764709312807,2111.0276184534073,0.0,781.8666128285122,TRANSITION,LOW,20842.5,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,1,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 02:05,NAS100,1,BUY,83.66666666666667,80.0,12.612184726054593,505.8683295721182,3860.63204140053,0.0,662.4897770710941,BULL,LOW,20856.2,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,2,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 02:10,NAS100,1,BUY,86.33333333333334,100.0,116.67478981737032,3015.482789072183,3190.953553294787,0.0,200.9121329357812,BULL,LOW,20861.7,40.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,2,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 02:45,NAS100,-1,SELL,83.66666666666667,80.0,-60.891361628668605,-2564.817276698995,-4338.394598268084,0.0,-689.322467013068,BEAR,LOW,20847.5,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,2,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 03:20,NAS100,1,BUY,89.0,60.0,-144.97819812001816,-10031.67811982577,2344.6823954721885,0.0,1147.0232129745577,TRANSITION,LOW,20817.7,40.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,3,2
